,0,1,2,3,4,0,1,2,3,4
0,Status.Recovered,MI,0.0001,5.170916125074373,7.003796900498166,Status.Recovered,MI,0.0001,4.436741301709148,6.217437625239658
1,Status.Recovered,MI,0.0001,3.4424977492593696,7.069999158985924,Status.Recovered,MI,0.0001,4.0399814058896,6.4285336810163844
2,Status.Recovered,MI,0.0001,5.292940112047118,6.223930376175254,Status.Recovered,MI,0.0001,4.970671453474923,4.725982146090848
3,Status.Recovered,MI,0.0001,5.719256749005322,4.852670397430978,Status.Recovered,MI,0.0001,5.67263931182273,3.8852432670429256
4,Status.Recovered,MI,0.15,5.462572421895,2.2307969593698944,Status.Recovered,MI,0.0001,5.006262066031346,3.9989931521081843
5,Status.Recovered,MI,0.0001,4.526103447906246,5.651837316196438,Status.Recovered,MI,0.0001,5.3022385715952405,6.484607673817832
6,Status.Recovered,MI,0.0001,3.9727529251795426,6.265726043583985,Status.Recovered,MI,0.0001,4.741370580490986,4.428291210365704
7,Status.Recovered,MI,0.15,4.104799022385186,1.4006067169825718,Status.Recovered,MI,0.0001,4.4298580082699,3.9869288535609577
8,Status.Recovered,MI,0.0001,4.223868775038399,6.911527010100775,Status.Recovered,MI,0.0001,6.7249600325204595,5.11096911748972
9,Status.Recovered,MI,0.0001,6.754137065613065,3.446607483516496,Status.Recovered,MI,0.0001,5.235876268530786,5.266695499514975
10,Status.Recovered,MI,0.0001,4.65223392333041,6.2853790291571485,Status.Recovered,MI,0.0001,5.180023500961134,3.679405803466101
11,Status.Recovered,MI,0.0001,5.032556018564354,6.77134308521719,Status.Recovered,MI,0.0001,6.076006795333207,3.609009133259396
12,Status.Recovered,MI,0.15,2.513544157923718,2.5821717940218654,Status.Recovered,MI,0.0001,8.01675762742706,6.1778294697961655
13,Status.Recovered,MI,0.0001,4.793959328223727,5.792686523187125,Status.Recovered,MI,0.0001,5.584216285852484,6.04608096250145
14,Status.Recovered,MI,0.0001,5.102834394931908,3.7020691676692143,Status.Recovered,MI,0.0001,5.721243974083689,5.320538850084711
15,Status.Recovered,MI,0.0001,6.363613415128676,7.602932850134872,Status.Recovered,MI,0.0001,3.554425873083821,3.4702758412987
16,Status.Susceptible,MI,0.0001,5.948638903989799,5.103672917760812,Status.Recovered,MI,0.0001,4.445358653402699,4.893915536657295
17,Status.Recovered,MI,0.0001,4.174668730582454,7.59036885880276,Status.Recovered,MI,0.0001,6.173230286776385,4.4829356590287555
18,Status.Recovered,MI,0.0001,4.698392712584438,5.528536956360345,Status.Recovered,MI,0.0001,6.170180362073377,2.7788427345776197
19,Status.Recovered,MI,0.0001,6.341740798747073,4.784877042555942,Status.Recovered,MI,0.0001,6.606030243041534,6.564458937170992
20,Status.Recovered,MI,0.0001,3.6703950075192657,3.6877775181696126,Status.Recovered,MI,0.0001,4.93585129280345,4.963202484104153
21,Status.Recovered,MI,0.0001,3.4486979644362963,6.37987894031991,Status.Recovered,MI,0.0001,6.0867094319552955,4.329307936771347
22,Status.Recovered,MI,0.0001,4.463333723382993,5.539848930661302,Status.Recovered,MI,0.0001,7.1017199933769835,2.6453788211345337
23,Status.Susceptible,MI,0.0001,4.425986699109892,5.364858549136804,Status.Recovered,MI,0.0001,5.011196501314908,4.188237833087815
24,Status.Recovered,MI,0.0001,5.783075886906898,5.797506460357463,Status.Recovered,MI,0.0001,6.109856970512114,4.839019691986016
25,Status.Recovered,MI,0.0001,4.411151571828058,3.632291127949162,Status.Recovered,MI,0.15,1.5940088242588133,1.7813548559276913
26,Status.Recovered,MI,0.0001,5.324720691722905,6.2584614964385965,Status.Recovered,MI,0.0001,5.648944739667593,5.255028372584123
27,Status.Recovered,MI,0.0001,3.7829552243769475,6.6010712180509135,Status.Recovered,MI,0.0001,5.388713983974081,5.0457600718334135
28,Status.Recovered,MI,0.0001,5.446496293782475,4.830671129823491,Status.Recovered,MI,0.0001,5.92602511835069,5.605506828868421
29,Status.Recovered,MI,0.0001,2.160032932816034,4.949650556200437,Status.Recovered,MI,0.0001,3.9016328784846745,4.187955760376704
30,Status.Recovered,MI,0.0001,5.6714032092953,7.341350884969183,Status.Recovered,MI,0.0001,5.377543583328084,5.983225822864598
31,Status.Recovered,MI,0.0001,5.997528952192,5.436445672525516,Status.Recovered,MI,0.0001,5.126533532265131,4.776483361226444
32,Status.Recovered,MI,0.0001,3.5640147121022347,6.859534430147224,Status.Recovered,MI,0.0001,5.994755516696112,2.6342683588335984
33,Status.Recovered,MI,0.0001,4.310029821691088,5.668046294991118,Status.Recovered,MI,0.0001,4.46054414482942,5.693151631164786
34,Status.Recovered,MI,0.0001,5.589974582739348,6.32957664412456,Status.Recovered,MI,0.0001,4.035894615487559,5.569156880594376
35,Status.Recovered,MI,0.15,3.1400462405982728,0.7986832001030602,Status.Susceptible,MI,0.15,4.272930263374925,3.6172970447869783
36,Status.Recovered,MI,0.0001,5.85308559069557,6.137223875812669,Status.Recovered,MI,0.0001,7.225490352444098,5.340027352010849
37,Status.Recovered,MI,0.0001,5.386151204998544,3.454351442543395,Status.Recovered,MI,0.0001,3.8977936786383895,8.048624521465888
38,Status.Recovered,MI,0.0001,5.45511905315454,4.755991356839755,Status.Dead,MI,0.0001,5.096801499071321,4.904571003917384
39,Status.Recovered,MI,0.0001,3.8839363700253293,6.425016693921657,Status.Recovered,MI,0.0001,5.060834547403764,4.176103250010066
40,Status.Recovered,MI,0.15,5.235048979896454,2.022078426417234,Status.Recovered,MI,0.0001,3.833948825251605,4.697081656318786
